,Title,Occupation,Company,Company Location,Specs,Link
0,Data Analysis/Analytics Instructor (Excel - Power BI),"['Full Time', 'Part Time', 'Freelance / Project']",EpsilonAI ,"Nasr City, Cairo, Egypt ",Experienced · 1+ Yrs of Exp · IT/Software Development · Analyst/Research · Training/Instructor · Analysis · business · Business Intelligence · Data Analysis · Computer Science · Power BI · SQL,https://wuzzuf.net/jobs/p/Nd4HjNw7Mnxy-Data-AnalysisAnalytics-Instructor-Excel---Power-BI-EpsilonAI-Cairo-Egypt
1,Cost & Data Analysis Accountant,"['Full Time', 'On-site']",MENA For Contracting & Trading ,"Glim, Alexandria, Egypt ",Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · analytical · Communication skills · Construction · Cost Accounting · ERP · excel · Finance · Financial Analysis,https://wuzzuf.net/jobs/p/6LyviAngofaz-Cost-Data-Analysis-Accountant-MENA-For-Contracting-Trading-Alexandria-Egypt
2,Data Analyst,"['Full Time', 'On-site']",Al Soug-Cashi ,"Dokki, Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · SQL · Python · Data Analyst · Data Analysis · analytical · Analyst,https://wuzzuf.net/jobs/p/rNZU4IBZewUz-Data-Analyst-Al-Soug-Cashi-Giza-Egypt
3,Senior Data Analyst,"['Full Time', 'On-site']",Green Valley ,"Nasr City, Cairo, Egypt ",Experienced · 4 - 5 Yrs of Exp · Analyst/Research · Analysis · Analyst · Data Analysis · Data Analyst,https://wuzzuf.net/jobs/p/lz3Hncw3F9yP-Senior-Data-Analyst-Green-Valley-Cairo-Egypt
4,Data Engineering Lead,"['Part Time', 'Hybrid']",Nahdet Misr Publishing Group ,"Mohandessin, Giza, Egypt ",Experienced · 6 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · AWS · Engineering · Azure · Analysis · Cloud Development · SQL · Data Modeling · Data Warehouse,https://wuzzuf.net/jobs/p/SyTlRprkXhia-Data-Engineering-Lead-Nahdet-Misr-Publishing-Group-Giza-Egypt
5,Data Analyst Lead / Manager,"['Full Time', 'Hybrid']",WUZZUF ,"Maadi, Cairo, Egypt ",Manager · 7 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Engineering · Computer Science · Data Analysis · Engineering · Microsoft Excel,https://wuzzuf.net/jobs/p/Z2oRrb24292t-Data-Analyst-Lead-Manager-WUZZUF-Cairo-Egypt
6,Data Scientists Team Lead,"['Full Time', 'Hybrid']",Smart Vision Technologies ,"Sheraton, Cairo, Egypt ",Manager · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Science · Data Analysis · Analytics · Computer Science · Information Technology (IT) · SQL · Agile,https://wuzzuf.net/jobs/p/0g7i551BjSzq-Data-Scientists-Team-Lead-Smart-Vision-Technologies-Cairo-Egypt
7,Data Analyst,"['Full Time', 'On-site']",United Group Steel  ,"10th of Ramadan City, Sharqia, Egypt ",Entry Level · 1 - 5 Yrs of Exp · females_only · Accounting/Finance · IT/Software Development · Analyst/Research · Data Entry · Financial Data Analysis · Data Analysis · Microsoft Excel · Financial Accounting · Business Analysis · Analysis,https://wuzzuf.net/jobs/p/wbK72hYhmTCd-Data-Analyst-United-Group-Steel-Sharqia-Egypt
8,Financial Planning And Analysis Assistant Manager,"['Full Time', 'On-site']",Erada ,"Maadi, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · Analysis · CFA · ERP · Finance · Financial · Financial Analysis · Financial Planning,https://wuzzuf.net/jobs/p/6SMcdiXwFZ4f-Financial-Planning-And-Analysis-Assistant-Manager-Erada-Cairo-Egypt
9,"Data Analyst -Internship ""Alexandria""","['Internship', 'On-site']",Egyptian Abrasives Co. ,"Alexandria, Egypt ",Student · Analyst/Research · Engineering - Telecom/Technology · Analysis · Data Analysis · Information Technology (IT) · Computer Science · Training · Communication,https://wuzzuf.net/internship/eJ5MCTLO1OfU-Data-Analyst--Internship-Alexandria-Egyptian-Abrasives-Co-Alexandria-Egypt
10,Media Monitoring Executive & Data Analysis,"['Full Time', 'Remote']",A&Y Govt. Services LLC ,"Al Ahmadi, Kuwait ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Market Research · Social Media · English · Data Analysis · Research,https://wuzzuf.net/jobs/p/DjhJDpbmz64n-Media-Monitoring-Executive-Data-Analysis-AY-Govt-Services-LLC-Al-Ahmadi-Kuwait
11,Project Analyst (Pharmacist / Engineer) - Technical Specialist,"['Full Time', 'On-site']",Pharco Corporation ,"Ameria, Alexandria, Egypt ",Entry Level · 1 - 3 Yrs of Exp · Project/Program Management · Analyst/Research · Engineering · Pharmacy · analytical · Project Management · Data Analysis,https://wuzzuf.net/jobs/p/Pprhnxcf2Zdp-Project-Analyst-Pharmacist-Engineer---Technical-Specialist-Pharco-Corporation-Alexandria-Egypt
12,Secondary Market Researcher,"['Full Time', 'On-site']",Ptcell ,"Maadi, Cairo, Egypt ","Experienced · 2 - 3 Yrs of Exp · Analyst/Research · Data Analysis · Market Research · Pharmaceutical · Research · Analysis · science,",https://wuzzuf.net/jobs/p/9eIuzD1TnBmz-Secondary-Market-Researcher-Ptcell-Cairo-Egypt
13,Power BI Developer,"['Full Time', 'On-site']",eVision ,"New Cairo, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · BI · Computer Science · Database · Information Technology (IT) · Power BI · Data Warehousing · Analysis,https://wuzzuf.net/jobs/p/aPG8FA6PpKac-Power-BI-Developer-eVision-Cairo-Egypt
14,Customer Relationship Management (CRM) Specialist,"['Full Time', 'On-site']",Confidential ,"Red Sea, Egypt ",Experienced · 2 - 4 Yrs of Exp · Customer Service/Support · Operations/Management · media · E-Marketing · Advertising · Social Media · social media platforms · Digital Marketing · Communication · Creative,https://wuzzuf.net/jobs/p/XdoThdL3kJRp-Customer-Relationship-Management-CRM-Specialist-Red-Sea-Egypt
15,Business Analyst,"['Full Time', 'On-site']",GCSSD ,"Heliopolis, Cairo, Egypt ",Experienced · 5+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · System Analysis · Writing System · ERP · Data Warehouse · SDLC · Information Technology (IT) · Business Analysis,https://wuzzuf.net/jobs/p/0gRG4bWLt5l1-Business-Analyst-GCSSD-Cairo-Egypt
16,Analysis Engineer,"['Full Time', 'On-site']",SMD Industrial  ,"10th of Ramadan City, Sharqia, Egypt ",Experienced · 2 - 5 Yrs of Exp · Manufacturing/Production · Analyst/Research · Data Analysis · Analytical Skills · business · Manufacturing · Engineering,https://wuzzuf.net/jobs/p/XDgPp57Ff47G-Analysis-Engineer-SMD-Industrial-Sharqia-Egypt
17,Senior Financial Planning and Analysis,"['Full Time', 'On-site']",Corona ,"6th of October, Giza, Egypt ",Experienced · 3 - 6 Yrs of Exp · Accounting/Finance · Financial Analysis · Accounting · Finance · Planning,https://wuzzuf.net/jobs/p/bO0Vju3HNi7U-Senior-Financial-Planning-and-Analysis-Corona-Giza-Egypt
18,Costing Manager,"['Full Time', 'On-site']",Confidential ,"Bourj Alarab, Alexandria, Egypt ",Manager · 10 - 15 Yrs of Exp · Accounting/Finance · Communication · Financial Data Analysis · Cost Accounting · Cost Control,https://wuzzuf.net/jobs/p/oYk8kcgx7eQY-Costing-Manager-Alexandria-Egypt
19,Senior ERP Business Analyst,"['Full Time', 'Hybrid']",BI-Technologies ,"New Cairo, Cairo, Egypt ",Experienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Business Analysis · business · Business Development · Computer Science · Information Technology (IT) · Data · Management,https://wuzzuf.net/jobs/p/U9Bzzc3QJCwD-Senior-ERP-Business-Analyst-BI-Technologies-Cairo-Egypt
20,External Auditor,"['Full Time', 'On-site']",Precision Accounting International ,"Smart Village, Giza, Egypt ",Experienced · 3 - 7 Yrs of Exp · Accounting/Finance · Accounting · External Auditor · Financial Analysis · Auditing · Data Analysis · Finance · tax · External Auditing,https://wuzzuf.net/jobs/p/EX4UCkDHFzd8-External-Auditor-Precision-Accounting-International-Giza-Egypt
