,Title,Occupation,Company,Company Location,Specs,Link
0,Data Science Instructor,"['Full Time', 'Part Time']",EpsilonAI ,"Nasr City, Cairo, Egypt ",Experienced · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · Data Science · Computer Science · Computer Engineering · Python · Machine Learning · Deep Learning · Artificial Intelligence (AI),https://wuzzuf.net/jobs/p/s09wN1eMjfMY-Data-Science-Instructor-EpsilonAI-Cairo-Egypt
1,Data Analysis/Analytics Instructor (Excel - Power BI),"['Full Time', 'Part Time', 'Freelance / Project']",EpsilonAI ,"Nasr City, Cairo, Egypt ",Experienced · 1+ Yrs of Exp · IT/Software Development · Analyst/Research · Training/Instructor · Analysis · business · Business Intelligence · Data Analysis · Computer Science · Power BI · SQL,https://wuzzuf.net/jobs/p/Nd4HjNw7Mnxy-Data-AnalysisAnalytics-Instructor-Excel---Power-BI-EpsilonAI-Cairo-Egypt
2,Data Scientist,"['Full Time', 'On-site']",Al Ateeq Software ,"Heliopolis, Cairo, Egypt ",Experienced · 7 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Mining · Computer Science · Data Science · Information Technology (IT) · Python · SQL · Research,https://wuzzuf.net/jobs/p/2t99siCaRsIc-Data-Scientist-Al-Ateeq-Software-Cairo-Egypt
3,Data Engineer,"['Full Time', 'Remote']",Xperts4 ,"Cairo, Egypt ",Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Informatica · axon · edc · data quality · idmc cloud services · data engineer · SQL Server · Tableau · Computer Science,https://wuzzuf.net/jobs/p/pEEUZ9lrxpms-Data-Engineer-Xperts4-Cairo-Egypt
4,Senior Data Engineer,"['Full Time', 'Hybrid']",Paymob Solutions ,"Maadi, Cairo, Egypt ",Experienced · 5 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Python · SQL · Database · Pandas · Computer Science · Programming · Software Development,https://wuzzuf.net/jobs/p/SCc3lNw8IO1J-Senior-Data-Engineer-Paymob-Solutions-Cairo-Egypt
5,Data Scientists Team Lead,"['Full Time', 'Hybrid']",Smart Vision Technologies ,"Sheraton, Cairo, Egypt ",Manager · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Science · Data Analysis · Analytics · Computer Science · Information Technology (IT) · SQL · Agile,https://wuzzuf.net/jobs/p/0g7i551BjSzq-Data-Scientists-Team-Lead-Smart-Vision-Technologies-Cairo-Egypt
6,Data Analyst Lead / Manager,"['Full Time', 'Hybrid']",WUZZUF ,"Maadi, Cairo, Egypt ",Manager · 7 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Engineering · Computer Science · Data Analysis · Engineering · Microsoft Excel,https://wuzzuf.net/jobs/p/Z2oRrb24292t-Data-Analyst-Lead-Manager-WUZZUF-Cairo-Egypt
7,Data Analyst,"['Full Time', 'On-site']",United Group Steel  ,"10th of Ramadan City, Sharqia, Egypt ",Entry Level · 1 - 5 Yrs of Exp · females_only · Accounting/Finance · IT/Software Development · Analyst/Research · Data Entry · Financial Data Analysis · Data Analysis · Microsoft Excel · Financial Accounting · Business Analysis · Analysis,https://wuzzuf.net/jobs/p/wbK72hYhmTCd-Data-Analyst-United-Group-Steel-Sharqia-Egypt
8,Data scientist/Statistician,"['Full Time', 'On-site']",COB Solution  ,"Maadi, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · Business Development · Analyst/Research · Algorithms · Computer Science · Data · Data Mining · Data Science · Machine Learning · Mathematics · Statistics,https://wuzzuf.net/jobs/p/TU7iwLbeRqBU-Data-scientistStatistician-COB-Solution-Cairo-Egypt
9,Senior Data Modeler (Banking Experience Required),"['Full Time', 'Hybrid']",BBI-Consultancy ,"Maadi, Cairo, Egypt ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Database · Engineering · Python · SQL · Programming · Data Warehousing,https://wuzzuf.net/jobs/p/oLYTmxxTsn8Y-Senior-Data-Modeler-Banking-Experience-Required-BBI-Consultancy-Cairo-Egypt
