,Title,Occupation,Company,Company Location,Specs,Link
0,Machine Learning Engineer,"['Full Time', 'Hybrid']",Afaqy ,"Maadi, Cairo, Egypt ",Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Computer Science · Machine Learning · LLM · Automation · Python,https://wuzzuf.net/jobs/p/i6gKb2MTXTOO-Machine-Learning-Engineer-Afaqy-Cairo-Egypt
1,Data Science Instructor,"['Full Time', 'Part Time']",EpsilonAI ,"Nasr City, Cairo, Egypt ",Experienced · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · Data Science · Computer Science · Computer Engineering · Python · Machine Learning · Deep Learning · Artificial Intelligence (AI),https://wuzzuf.net/jobs/p/s09wN1eMjfMY-Data-Science-Instructor-EpsilonAI-Cairo-Egypt
2,Python Artisan Developer,"['Full Time', 'Remote']",coto ,"Cairo, Egypt ",Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Django · API · AI · Data Processing · Computer Science · Docker · Engineering · Information Technology (IT) · MongoDB,https://wuzzuf.net/jobs/p/EjPByHhxrg1y-Python-Artisan-Developer-coto-Cairo-Egypt
3,Data scientist/Statistician,"['Full Time', 'On-site']",COB Solution  ,"Maadi, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · Business Development · Analyst/Research · Algorithms · Computer Science · Data · Data Mining · Data Science · Machine Learning · Mathematics · Statistics,https://wuzzuf.net/jobs/p/TU7iwLbeRqBU-Data-scientistStatistician-COB-Solution-Cairo-Egypt
4,Senior AI Engineer,"['Full Time', 'Hybrid']",Lumin ,"Sheikh Zayed, Giza, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · AI · Artificial Intelligence · Computer Vision · Machine Learning · TensorFlow · Python · Computer Science · Programming · PyTorch,https://wuzzuf.net/jobs/p/qZt8hX89HQtt-Senior-AI-Engineer-Lumin-Giza-Egypt
5,Maintenance Engineer,"['Full Time', 'On-site']",Kern egypt ,"Cairo, Egypt ",Experienced · 2 - 6 Yrs of Exp · males_only · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Machines · Maintenance · Mechanical Engineering,https://wuzzuf.net/jobs/p/ALhE9FKSg2QS-Maintenance-Engineer-Kern-egypt-Cairo-Egypt
6,Learning & Development Specialist,['Full Time'],UNITED STEEL INDUSTRIAL CO. ,"Kuwait City, Kuwait ",Experienced · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Learning · Training · Information Technology (IT) · Computer Science · Teaching · E-Learning,https://wuzzuf.net/jobs/p/g/MMXq23vZuxIY-Learning-Development-Specialist-UNITED-STEEL-INDUSTRIAL-CO-Kuwait-City-Kuwait
7,Learning & Development Management Lead Specialist,['Full Time'],"Zakat, Tax and Customs Authority ","Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Learning · Training · Information Technology (IT) · Computer Science · Teaching · E-Learning,https://wuzzuf.net/jobs/p/g/qETeXaxNIqtk-Learning-Development-Management-Lead-Specialist-Zakat-Tax-and-Customs-Authority-Riyadh-Saudi-Arabia
8,AI Technical Team Lead,"['Full Time', 'On-site']",Confidential ,"Cairo, Egypt ",Experienced · 5+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Angular · Cloud · computer · Computer Science · Development · Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/96sRcbkq9vc5-AI-Technical-Team-Lead-Cairo-Egypt
9,Data Scientists Team Lead,"['Full Time', 'Hybrid']",Smart Vision Technologies ,"Sheraton, Cairo, Egypt ",Manager · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Science · Data Analysis · Analytics · Computer Science · Information Technology (IT) · SQL · Agile,https://wuzzuf.net/jobs/p/0g7i551BjSzq-Data-Scientists-Team-Lead-Smart-Vision-Technologies-Cairo-Egypt
10,Site Reliability Engineer,"['Full Time', 'On-site']",Citylogix ME ,"New Cairo, Cairo, Egypt ",Experienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Information Technology (IT) · System Admin · System Administration · PostgreSQL · Docker · Node.js,https://wuzzuf.net/jobs/p/dX3TKDNIhK4V-Site-Reliability-Engineer-Citylogix-ME-Cairo-Egypt
11,Senior Python Developer,"['Full Time', 'Remote']","Nile Bits, LLC ","6th of October, Giza, Egypt ",Experienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · APIs · RESTful · Python · Software Engineering,https://wuzzuf.net/jobs/p/gSlIpqMnrkqV-Senior-Python-Developer-Nile-Bits-LLC-Giza-Egypt
12,Data Scientist,['Full Time'],Matchable ,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning,https://wuzzuf.net/jobs/p/g/SmixIONPX5et-Data-Scientist-Matchable-Riyadh-Saudi-Arabia
13,AI Engineer,['Full Time'],UAE General Civil Aviation Authority (GCAA) ,"Dubai, United Arab Emirates ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Information Technology (IT) · Computer Science · Engineering · Python · Software Engineering · NLP,https://wuzzuf.net/jobs/p/g/l9vbQXlT1AOg-AI-Engineer-UAE-General-Civil-Aviation-Authority-GCAA-Dubai-United-Arab-Emirates
14,Junior Data Scientist (Remote),['Full Time'],Kreativstorm ,"Tabuk, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Python · Information Technology (IT) · SQL · Data Science · Data Analysis · Java,https://wuzzuf.net/jobs/p/g/vTKLnZ3pWDNr-Junior-Data-Scientist-Remote-Kreativstorm-Tabuk-Saudi-Arabia
15,Jr. Data Scientist,['Full Time'],DXC Technology ,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Machine Learning · Data Scientist,https://wuzzuf.net/jobs/p/g/NLNDvRIHrDfL-Jr-Data-Scientist-DXC-Technology-Dubai-United-Arab-Emirates
16,Timekeeper - HR,"['Full Time', 'Shift Based', 'On-site']",Emessa Denim   ,"Beni Suef, Egypt ",Entry Level · Administration · Human Resources · Manufacturing/Production · timekeeper · Time Scheduling · Time Management · HR · HR Systems · Payroll Administration · Human Resources,https://wuzzuf.net/jobs/p/lgY1NtlH7I07-Timekeeper---HR-Emessa-Denim-Beni-Suef-Egypt
17,Sr.Technical Support Engineer,"['Full Time', 'On-site']",Midea Group ,"6th of October, Giza, Egypt ",Experienced · 4 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Information Technology (IT) · IT · Hardware · Maintenance · Technical Support,https://wuzzuf.net/jobs/p/tUHIFtCvRO4x-SrTechnical-Support-Engineer-Midea-Group-Giza-Egypt
